Time,Direction,Data
16:06:52.902,RX,"-4.843"
16:06:52.908,RX,"-4.755"
16:06:52.914,RX,"-4.649"
16:06:52.925,RX,"-4.524"
16:06:52.938,RX,"-4.381"
16:06:52.947,RX,"-4.222"
16:06:52.959,RX,"-4.045"
16:06:52.966,RX,"-3.852"
16:06:52.978,RX,"-3.645"
16:06:52.984,RX,"-3.423"
16:06:52.996,RX,"-3.187"
16:06:53.007,RX,"-2.939"
16:06:53.014,RX,"-2.679"
16:06:53.026,RX,"-2.409"
16:06:53.039,RX,"-2.129"
16:06:53.046,RX,"-1.840"
16:06:53.059,RX,"-1.545"
16:06:53.065,RX,"-1.243"
16:06:53.078,RX,"-0.937"
16:06:53.085,RX,"-0.627"
16:06:53.096,RX,"-0.314"
16:06:53.108,RX,"0.000"
16:06:53.116,RX,"0.314"
16:06:53.128,RX,"0.627"
16:06:53.136,RX,"0.937"
16:06:53.149,RX,"1.244"
16:06:53.157,RX,"1.545"
16:06:53.164,RX,"1.841"
16:06:53.176,RX,"2.129"
16:06:53.188,RX,"2.409"
16:06:53.194,RX,"2.679"
16:06:53.208,RX,"2.939"
16:06:53.215,RX,"3.187"
16:06:53.225,RX,"3.423"
16:06:53.238,RX,"3.645"
16:06:53.244,RX,"3.853"
16:06:53.257,RX,"4.045"
16:06:53.264,RX,"4.222"
16:06:53.277,RX,"4.382"
16:06:53.289,RX,"4.524"
16:06:53.295,RX,"4.649"
16:06:53.307,RX,"4.755"
16:06:53.318,RX,"4.843"
16:06:53.325,RX,"4.911"
16:06:53.338,RX,"4.961"
16:06:53.345,RX,"4.990"
16:06:53.358,RX,"5.000"
16:06:53.364,RX,"4.990"
16:06:53.377,RX,"4.961"
16:06:53.384,RX,"4.911"
16:06:53.396,RX,"4.843"
16:06:53.404,RX,"4.755"
16:06:53.416,RX,"4.649"
16:06:53.430,RX,"4.524"
16:06:53.438,RX,"4.381"
16:06:53.447,RX,"4.222"
16:06:53.459,RX,"4.045"
16:06:53.466,RX,"3.852"
16:06:53.478,RX,"3.645"
16:06:53.485,RX,"3.423"
16:06:53.497,RX,"3.187"
16:06:53.505,RX,"2.939"
16:06:53.517,RX,"2.679"
16:06:53.529,RX,"2.409"
16:06:53.536,RX,"2.129"
16:06:53.552,RX,"1.840"
16:06:53.559,RX,"1.545"
16:06:53.566,RX,"1.243"
