Time,Direction,Data
16:07:47.574,RX,"1.544"
16:07:47.584,RX,"1.243"
16:07:47.596,RX,"0.936"
16:07:47.606,RX,"0.626"
16:07:47.616,RX,"0.313"
16:07:47.628,RX,"-0.001"
16:07:47.641,RX,"-0.315
-0.627"
16:07:47.653,RX,"-0.938"
16:07:47.664,RX,"-1.244"
16:07:47.675,RX,"-1.546"
16:07:47.684,RX,"-1.841"
16:07:47.694,RX,"-2.130"
16:07:47.704,RX,"-2.409"
16:07:47.714,RX,"-2.680"
16:07:47.725,RX,"-2.939"
16:07:47.734,RX,"-3.188"
16:07:47.743,RX,"-3.423"
16:07:47.755,RX,"-3.645"
16:07:47.765,RX,"-3.853"
16:07:47.774,RX,"-4.045"
16:07:47.784,RX,"-4.222"
16:07:47.795,RX,"-4.382"
16:07:47.805,RX,"-4.524"
16:07:47.814,RX,"-4.649"
16:07:47.823,RX,"-4.755"
16:07:47.833,RX,"-4.843"
16:07:47.844,RX,"-4.912"
16:07:47.856,RX,"-4.961"
16:07:47.866,RX,"-4.990"
16:07:47.876,RX,"-5.000"
16:07:47.887,RX,"-4.990"
16:07:47.897,RX,"-4.960"
16:07:47.908,RX,"-4.911"
16:07:47.919,RX,"-4.843"
16:07:47.928,RX,"-4.755"
16:07:47.938,RX,"-4.649"
16:07:47.949,RX,"-4.524"
16:07:47.959,RX,"-4.381"
16:07:47.969,RX,"-4.221"
16:07:47.979,RX,"-4.045"
16:07:47.988,RX,"-3.852"
16:07:47.999,RX,"-3.644"
16:07:48.009,RX,"-3.422"
16:07:48.022,RX,"-3.187
-2.938"
16:07:48.031,RX,"-2.679"
16:07:48.044,RX,"-2.408"
16:07:48.056,RX,"-2.128"
16:07:48.067,RX,"-1.840"
16:07:48.078,RX,"-1.544"
16:07:48.088,RX,"-1.243"
16:07:48.098,RX,"-0.936"
16:07:48.108,RX,"-0.626"
16:07:48.118,RX,"-0.313"
16:07:48.128,RX,"0.001"
16:07:48.138,RX,"0.315"
16:07:48.147,RX,"0.627"
16:07:48.159,RX,"0.938"
16:07:48.169,RX,"1.244"
16:07:48.179,RX,"1.546"
16:07:48.189,RX,"1.841"
16:07:48.199,RX,"2.130"
16:07:48.209,RX,"2.409"
16:07:48.221,RX,"2.680
2.939"
16:07:48.231,RX,"3.188"
16:07:48.242,RX,"3.423"
16:07:48.254,RX,"3.645"
16:07:48.265,RX,"3.853"
16:07:48.275,RX,"4.045"
16:07:48.284,RX,"4.222"
16:07:48.295,RX,"4.382"
16:07:48.305,RX,"4.524"
16:07:48.315,RX,"4.649"
16:07:48.325,RX,"4.755"
16:07:48.335,RX,"4.843"
16:07:48.344,RX,"4.912"
16:07:48.354,RX,"4.961"
16:07:48.365,RX,"4.990"
16:07:48.375,RX,"5.000"
16:07:48.386,RX,"4.990"
16:07:48.396,RX,"4.960"
16:07:48.406,RX,"4.911"
16:07:48.416,RX,"4.843"
16:07:48.425,RX,"4.755"
16:07:48.435,RX,"4.649"
16:07:48.446,RX,"4.524"
16:07:48.457,RX,"4.381"
16:07:48.469,RX,"4.221"
16:07:48.478,RX,"4.045"
16:07:48.488,RX,"3.852"
16:07:48.498,RX,"3.644"
16:07:48.508,RX,"3.422"
16:07:48.518,RX,"3.187"
16:07:48.528,RX,"2.938"
16:07:48.540,RX,"2.679"
16:07:48.550,RX,"2.408"
16:07:48.561,RX,"2.128
1.840"
16:07:48.571,RX,"1.544"
16:07:48.582,RX,"1.243"
16:07:48.592,RX,"0.936"
16:07:48.601,RX,"0.626"
16:07:48.612,RX,"0.313"
16:07:48.624,RX,"-0.001"
16:07:48.634,RX,"-0.315"
16:07:48.644,RX,"-0.627"
16:07:48.654,RX,"-0.938"
16:07:48.666,RX,"-1.244"
16:07:48.678,RX,"-1.546"
16:07:48.688,RX,"-1.841"
16:07:48.698,RX,"-2.130"
16:07:48.708,RX,"-2.409"
16:07:48.719,RX,"-2.680"
16:07:48.729,RX,"-2.939"
16:07:48.739,RX,"-3.188"
16:07:48.749,RX,"-3.423"
16:07:48.759,RX,"-3.645"
16:07:48.770,RX,"-3.853"
16:07:48.781,RX,"-4.045
-4.222"
16:07:48.792,RX,"-4.382"
16:07:48.803,RX,"-4.524"
16:07:48.814,RX,"-4.649"
16:07:48.826,RX,"-4.755"
16:07:48.836,RX,"-4.843"
16:07:48.847,RX,"-4.912"
16:07:48.856,RX,"-4.961"
16:07:48.871,RX,"-4.990
-5.000"
16:07:48.880,RX,"-4.990"
16:07:48.892,RX,"-4.960"
16:07:48.902,RX,"-4.911"
16:07:48.913,RX,"-4.843"
16:07:48.924,RX,"-4.755"
16:07:48.935,RX,"-4.649"
16:07:48.946,RX,"-4.524"
16:07:48.955,RX,"-4.381"
16:07:48.965,RX,"-4.221"
16:07:48.978,RX,"-4.045"
16:07:48.995,RX,"-3.852
-3.644"
16:07:49.003,RX,"-3.422"
16:07:49.013,RX,"-3.187"
16:07:49.023,RX,"-2.938"
16:07:49.034,RX,"-2.679"
16:07:49.044,RX,"-2.408"
16:07:49.055,RX,"-2.128"
16:07:49.068,RX,"-1.840"
16:07:49.079,RX,"-1.544"
16:07:49.089,RX,"-1.243"
16:07:49.100,RX,"-0.936"
16:07:49.110,RX,"-0.626"
16:07:49.120,RX,"-0.313"
16:07:49.131,RX,"0.001
0.315"
16:07:49.140,RX,"0.627"
16:07:49.152,RX,"0.938"
16:07:49.163,RX,"1.244"
16:07:49.174,RX,"1.546"
16:07:49.184,RX,"1.841"
16:07:49.194,RX,"2.130"
16:07:49.204,RX,"2.409"
16:07:49.215,RX,"2.680"
16:07:49.225,RX,"2.939"
16:07:49.234,RX,"3.188"
16:07:49.245,RX,"3.423"
16:07:49.256,RX,"3.645"
16:07:49.265,RX,"3.853"
16:07:49.280,RX,"4.045"
16:07:49.289,RX,"4.222"
16:07:49.300,RX,"4.382"
16:07:49.310,RX,"4.524"
16:07:49.321,RX,"4.649
4.755"
16:07:49.331,RX,"4.843"
16:07:49.342,RX,"4.912"
16:07:49.352,RX,"4.961"
16:07:49.362,RX,"4.990"
16:07:49.372,RX,"5.000"
16:07:49.383,RX,"4.990"
16:07:49.395,RX,"4.960"
16:07:49.405,RX,"4.911"
16:07:49.416,RX,"4.843"
16:07:49.427,RX,"4.755"
16:07:49.438,RX,"4.649"
16:07:49.449,RX,"4.524"
16:07:49.459,RX,"4.381"
16:07:49.468,RX,"4.221"
16:07:49.482,RX,"4.045
3.852"
16:07:49.490,RX,"3.644"
16:07:49.501,RX,"3.422"
16:07:49.512,RX,"3.187"
16:07:49.522,RX,"2.938"
16:07:49.533,RX,"2.679"
16:07:49.544,RX,"2.408"
16:07:49.555,RX,"2.128"
16:07:49.565,RX,"1.840"
16:07:49.575,RX,"1.544"
16:07:49.586,RX,"1.243"
16:07:49.598,RX,"0.936"
16:07:49.609,RX,"0.626"
16:07:49.620,RX,"0.313"
16:07:49.631,RX,"-0.001
-0.315"
16:07:49.640,RX,"-0.627"
16:07:49.652,RX,"-0.938"
16:07:49.662,RX,"-1.244"
16:07:49.672,RX,"-1.546"
16:07:49.683,RX,"-1.841"
16:07:49.697,RX,"-2.130"
16:07:49.708,RX,"-2.409"
16:07:49.719,RX,"-2.680"
16:07:49.730,RX,"-2.939"
16:07:49.741,RX,"-3.188
-3.423"
16:07:49.751,RX,"-3.645"
16:07:49.764,RX,"-3.853"
16:07:49.774,RX,"-4.045"
16:07:49.785,RX,"-4.222"
16:07:49.796,RX,"-4.382"
16:07:49.807,RX,"-4.524"
16:07:49.817,RX,"-4.649"
16:07:49.828,RX,"-4.755"
16:07:49.838,RX,"-4.843"
16:07:49.848,RX,"-4.912"
16:07:49.858,RX,"-4.961"
16:07:49.868,RX,"-4.990"
16:07:49.878,RX,"-5.000"
16:07:49.898,RX,"-4.990
-4.960"
16:07:49.906,RX,"-4.911"
16:07:49.916,RX,"-4.843"
16:07:49.927,RX,"-4.755"
16:07:49.938,RX,"-4.649"
16:07:49.949,RX,"-4.524"
16:07:49.959,RX,"-4.381"
16:07:49.970,RX,"-4.221"
16:07:49.981,RX,"-4.045
-3.852"
