Time,Direction,Data
16:06:49.942,RX,"-4.381"
16:06:49.948,RX,"-4.222"
16:06:49.959,RX,"-4.045"
16:06:49.965,RX,"-3.852"
16:06:49.976,RX,"-3.645"
16:06:49.988,RX,"-3.423"
16:06:49.999,RX,"-3.187"
16:06:50.005,RX,"-2.939"
16:06:50.015,RX,"-2.679"
16:06:50.026,RX,"-2.409"
16:06:50.038,RX,"-2.129"
16:06:50.045,RX,"-1.841"
16:06:50.056,RX,"-1.545"
16:06:50.067,RX,"-1.243"
16:06:50.078,RX,"-0.937"
16:06:50.088,RX,"-0.627"
16:06:50.095,RX,"-0.314"
16:06:50.105,RX,"0.000"
16:06:50.115,RX,"0.314"
16:06:50.131,RX,"0.627"
16:06:50.137,RX,"0.937"
16:06:50.148,RX,"1.244"
16:06:50.159,RX,"1.545"
16:06:50.165,RX,"1.841"
16:06:50.176,RX,"2.129"
16:06:50.186,RX,"2.409"
16:06:50.197,RX,"2.679"
16:06:50.209,RX,"2.939"
16:06:50.215,RX,"3.187"
16:06:50.226,RX,"3.423"
16:06:50.238,RX,"3.645"
16:06:50.245,RX,"3.853"
16:06:50.256,RX,"4.045"
16:06:50.267,RX,"4.222"
16:06:50.278,RX,"4.382"
16:06:50.289,RX,"4.524"
16:06:50.294,RX,"4.649"
16:06:50.305,RX,"4.755"
16:06:50.316,RX,"4.843"
16:06:50.328,RX,"4.911"
16:06:50.336,RX,"4.961"
16:06:50.348,RX,"4.990"
16:06:50.354,RX,"5.000"
16:06:50.365,RX,"4.990"
16:06:50.377,RX,"4.961"
16:06:50.389,RX,"4.911"
16:06:50.394,RX,"4.843"
16:06:50.406,RX,"4.755"
16:06:50.416,RX,"4.649"
16:06:50.428,RX,"4.524"
16:06:50.434,RX,"4.381"
16:06:50.446,RX,"4.222"
16:06:50.458,RX,"4.045"
16:06:50.464,RX,"3.852"
16:06:50.475,RX,"3.645"
16:06:50.486,RX,"3.423"
16:06:50.497,RX,"3.187"
16:06:50.508,RX,"2.939"
16:06:50.519,RX,"2.679"
16:06:50.524,RX,"2.409"
16:06:50.542,RX,"2.129"
16:06:50.549,RX,"1.841"
16:06:50.555,RX,"1.545"
16:06:50.566,RX,"1.243"
16:06:50.577,RX,"0.937"
16:06:50.590,RX,"0.627"
16:06:50.599,RX,"0.314"
16:06:50.607,RX,"-0.000"
16:06:50.619,RX,"-0.314"
16:06:50.626,RX,"-0.627"
16:06:50.640,RX,"-0.937"
16:06:50.646,RX,"-1.244"
16:06:50.659,RX,"-1.545"
16:06:50.667,RX,"-1.841"
16:06:50.679,RX,"-2.129"
16:06:50.685,RX,"-2.409"
16:06:50.696,RX,"-2.679"
16:06:50.708,RX,"-2.939"
16:06:50.715,RX,"-3.187"
16:06:50.727,RX,"-3.423"
16:06:50.735,RX,"-3.645"
16:06:50.747,RX,"-3.853"
16:06:50.759,RX,"-4.045"
16:06:50.765,RX,"-4.222"
16:06:50.775,RX,"-4.382"
16:06:50.787,RX,"-4.524"
16:06:50.799,RX,"-4.649"
16:06:50.804,RX,"-4.755"
16:06:50.816,RX,"-4.843"
16:06:50.826,RX,"-4.911"
16:06:50.839,RX,"-4.961"
16:06:50.845,RX,"-4.990"
16:06:50.856,RX,"-5.000"
16:06:50.867,RX,"-4.990"
16:06:50.874,RX,"-4.961"
16:06:50.886,RX,"-4.911"
16:06:50.897,RX,"-4.843"
16:06:50.909,RX,"-4.755"
16:06:50.915,RX,"-4.649"
16:06:50.926,RX,"-4.524"
16:06:50.937,RX,"-4.381"
16:06:50.945,RX,"-4.222"
16:06:50.958,RX,"-4.045"
16:06:50.968,RX,"-3.852"
16:06:50.976,RX,"-3.645"
16:06:50.987,RX,"-3.423"
16:06:50.999,RX,"-3.187"
16:06:51.004,RX,"-2.939"
16:06:51.015,RX,"-2.679"
16:06:51.025,RX,"-2.409"
16:06:51.036,RX,"-2.129"
16:06:51.048,RX,"-1.840"
16:06:51.054,RX,"-1.545"
16:06:51.066,RX,"-1.243"
16:06:51.077,RX,"-0.937"
16:06:51.084,RX,"-0.627"
16:06:51.095,RX,"-0.314"
16:06:51.108,RX,"0.000"
16:06:51.119,RX,"0.314"
16:06:51.124,RX,"0.627"
16:06:51.134,RX,"0.937"
16:06:51.149,RX,"1.244"
16:06:51.155,RX,"1.545"
16:06:51.167,RX,"1.841"
16:06:51.178,RX,"2.129"
16:06:51.185,RX,"2.409"
16:06:51.196,RX,"2.679"
16:06:51.209,RX,"2.939"
16:06:51.214,RX,"3.187"
16:06:51.225,RX,"3.423"
16:06:51.236,RX,"3.645"
16:06:51.245,RX,"3.853"
16:06:51.257,RX,"4.045"
16:06:51.264,RX,"4.222"
16:06:51.275,RX,"4.382"
16:06:51.288,RX,"4.524"
16:06:51.295,RX,"4.649"
16:06:51.305,RX,"4.755"
16:06:51.316,RX,"4.843"
16:06:51.329,RX,"4.911"
16:06:51.335,RX,"4.961"
16:06:51.348,RX,"4.990"
16:06:51.356,RX,"5.000"
16:06:51.364,RX,"4.990"
16:06:51.377,RX,"4.961"
16:06:51.389,RX,"4.911"
16:06:51.395,RX,"4.843"
16:06:51.407,RX,"4.755"
16:06:51.418,RX,"4.649"
16:06:51.424,RX,"4.524"
16:06:51.435,RX,"4.381"
16:06:51.447,RX,"4.222"
16:06:51.458,RX,"4.045"
16:06:51.464,RX,"3.852"
16:06:51.477,RX,"3.645"
16:06:51.489,RX,"3.423"
16:06:51.496,RX,"3.187"
16:06:51.508,RX,"2.939"
16:06:51.518,RX,"2.679"
16:06:51.524,RX,"2.409"
16:06:51.539,RX,"2.129"
16:06:51.546,RX,"1.840"
16:06:51.556,RX,"1.545"
16:06:51.565,RX,"1.243"
16:06:51.579,RX,"0.937"
16:06:51.585,RX,"0.627"
16:06:51.596,RX,"0.314"
16:06:51.608,RX,"-0.000"
16:06:51.615,RX,"-0.314"
16:06:51.627,RX,"-0.627"
16:06:51.638,RX,"-0.937"
16:06:51.646,RX,"-1.244"
16:06:51.659,RX,"-1.545"
16:06:51.666,RX,"-1.841"
16:06:51.677,RX,"-2.129"
16:06:51.684,RX,"-2.409"
16:06:51.696,RX,"-2.679"
