Time,Direction,Data
16:06:51.708,RX,"-2.939"
16:06:51.714,RX,"-3.187"
16:06:51.726,RX,"-3.423"
16:06:51.737,RX,"-3.645"
16:06:51.748,RX,"-3.853"
16:06:51.754,RX,"-4.045"
16:06:51.766,RX,"-4.222"
16:06:51.775,RX,"-4.382"
16:06:51.786,RX,"-4.524"
16:06:51.798,RX,"-4.649"
16:06:51.804,RX,"-4.755"
16:06:51.816,RX,"-4.843"
16:06:51.828,RX,"-4.911"
16:06:51.834,RX,"-4.961"
16:06:51.846,RX,"-4.990"
16:06:51.857,RX,"-5.000"
16:06:51.869,RX,"-4.990"
16:06:51.876,RX,"-4.961"
16:06:51.888,RX,"-4.911"
16:06:51.894,RX,"-4.843"
16:06:51.907,RX,"-4.755"
16:06:51.919,RX,"-4.649"
16:06:51.925,RX,"-4.524"
16:06:51.936,RX,"-4.381"
16:06:51.948,RX,"-4.222"
16:06:51.959,RX,"-4.045"
16:06:51.965,RX,"-3.852"
16:06:51.975,RX,"-3.645"
16:06:51.986,RX,"-3.423"
16:06:51.997,RX,"-3.187"
16:06:52.003,RX,"-2.939"
16:06:52.016,RX,"-2.679"
16:06:52.026,RX,"-2.409"
16:06:52.034,RX,"-2.129"
16:06:52.046,RX,"-1.840"
16:06:52.057,RX,"-1.545"
16:06:52.064,RX,"-1.243"
16:06:52.076,RX,"-0.937"
16:06:52.084,RX,"-0.627"
16:06:52.097,RX,"-0.314"
16:06:52.109,RX,"0.000"
16:06:52.116,RX,"0.314"
16:06:52.127,RX,"0.627"
16:06:52.138,RX,"0.937"
16:06:52.145,RX,"1.244"
16:06:52.156,RX,"1.545"
16:06:52.168,RX,"1.841"
16:06:52.178,RX,"2.129"
16:06:52.186,RX,"2.409"
16:06:52.198,RX,"2.679"
16:06:52.204,RX,"2.939"
